2025-07-28 14:24:52.651 | INFO     | app.main:upload_extrato:340 - Retornando resultado: {'success': True, 'message': 'Extrato EDUCAÇÃO processado com sucesso!', 'extrato': {'id': '38dee098-e016-49af-8cb0-cf218b6ba6c0', 'banco': 'EDUCAÇÃO', 'arquivo': 'Extrato Bancário - EDUCA.xlsx', 'total_transacoes': 419, 'processado_em': '2025-07-28T14:24:52.651510', 'status': 'PROCESSADO'}, 'total_transacoes': 419, 'resumo': {'creditos': 80, 'debitos': 339, 'valor_total': -97636.96}}
2025-07-28 14:25:35.195 | INFO     | app.main:startup:162 - 🚀 Iniciando Sistema de Conciliação Bancária...
2025-07-28 14:25:35.195 | INFO     | app.main:startup:163 - ✅ Sistema iniciado com sucesso!
2025-07-28 14:25:35.921 | INFO     | app.main:startup:162 - 🚀 Iniciando Sistema de Conciliação Bancária...
2025-07-28 14:25:35.921 | INFO     | app.main:startup:163 - ✅ Sistema iniciado com sucesso!
2025-07-28 14:30:16.323 | INFO     | app.main:startup:162 - 🚀 Iniciando Sistema de Conciliação Bancária...
2025-07-28 14:30:16.323 | INFO     | app.main:startup:163 - ✅ Sistema iniciado com sucesso!
2025-07-28 14:30:17.044 | INFO     | app.main:startup:162 - 🚀 Iniciando Sistema de Conciliação Bancária...
2025-07-28 14:30:17.044 | INFO     | app.main:startup:163 - ✅ Sistema iniciado com sucesso!
2025-07-28 14:30:21.253 | INFO     | app.main:startup:162 - 🚀 Iniciando Sistema de Conciliação Bancária...
2025-07-28 14:30:21.254 | INFO     | app.main:startup:163 - ✅ Sistema iniciado com sucesso!
2025-07-28 14:30:22.009 | INFO     | app.main:startup:162 - 🚀 Iniciando Sistema de Conciliação Bancária...
2025-07-28 14:30:22.010 | INFO     | app.main:startup:163 - ✅ Sistema iniciado com sucesso!
2025-07-28 14:30:34.957 | INFO     | app.main:startup:162 - 🚀 Iniciando Sistema de Conciliação Bancária...
2025-07-28 14:30:34.958 | INFO     | app.main:startup:163 - ✅ Sistema iniciado com sucesso!
2025-07-28 14:30:35.712 | INFO     | app.main:startup:162 - 🚀 Iniciando Sistema de Conciliação Bancária...
2025-07-28 14:30:35.713 | INFO     | app.main:startup:163 - ✅ Sistema iniciado com sucesso!
2025-07-28 14:30:36.244 | INFO     | app.main:startup:162 - 🚀 Iniciando Sistema de Conciliação Bancária...
